date,gz_spread,ebp,est_prob
1973-01-01,1.1307714053429057,-0.04326719577172788,0.19057991184653
1973-02-01,1.075493276125443,-0.05532397450234883,0.1865311628366925
1973-03-01,1.0299678416836435,-0.1473622426909389,0.15740372395317695
1973-04-01,0.9827458103604768,-0.20828991049632584,0.13986216310181998
1973-05-01,1.0464935117518377,-0.08521963626215379,0.17672402337494778
1973-06-01,1.185925775964177,0.03436211267325118,0.2179184394312875
1973-07-01,0.9810549739577188,-0.3411425329675718,0.1063604726138979
1973-08-01,0.9777605050840716,-0.2159872415631177,0.137744464204861
1973-09-01,0.8188236781169651,-0.3563901256755875,0.10292201822346005
1973-10-01,1.273250254171703,0.11630825263244328,0.24908990237939188
1973-11-01,1.3537449558224253,0.05282370009794857,0.22473806951115963
1973-12-01,1.295969416847959,-0.00837273195439447,0.20259837875072031
1974-01-01,1.1784210232542267,-0.04202807931794172,0.19099905112496096
1974-02-01,1.3067144792396042,0.15841009401458006,0.2659822366373761
1974-03-01,1.220038714401003,-0.09792282532719931,0.17265734268180935
1974-04-01,1.2539698576113811,0.08930432493673535,0.23856342058071053
1974-05-01,1.3012385977617122,0.0979965782443124,0.2419249605650362
1974-06-01,1.9017877205835212,0.7556188825474184,0.5467748306084492
1974-07-01,2.568696915547139,1.269403096306257,0.7752712952978207
1974-08-01,2.1264243722076457,0.9408688507298164,0.6360212243600007
1974-09-01,2.381902491150801,1.0027681269234374,0.6645105457595564
1974-10-01,2.5524795103497766,1.1186770589490165,0.7152940530849081
1974-11-01,2.356853811556149,1.088472310589712,0.7024165114890445
1974-12-01,2.661212477979876,1.2246465121020025,0.7582463680007396
1975-01-01,1.7337713333806513,0.3912755809956554,0.3686309140997295
1975-02-01,1.649526368358294,0.4109772903723481,0.3779056766785691
1975-03-01,1.8961250416029105,0.6037631871789753,0.4715836503116966
1975-04-01,1.5567123308218438,0.2396086487980542,0.3001206628494443
1975-05-01,1.606921254453593,0.3623120104203763,0.3551352428306012
1975-06-01,1.461922207470538,0.2560727279813755,0.3072771375616122
1975-07-01,1.4884824580177884,0.383685544452518,0.36507781890331914
1975-08-01,1.300847928813233,0.12737995697537663,0.2534761537131951
1975-09-01,1.4186685311342824,0.3028294601386945,0.32799757105219174
1975-10-01,1.3607284327062037,0.11480847281377482,0.2484988588560508
1975-11-01,1.329823154039846,0.18325356257533376,0.27621545093228017
1975-12-01,1.2541786335635057,-0.03514067229486395,0.1933390513546131
1976-01-01,0.9979908878131896,-0.16348283160450328,0.15262760208871787
1976-02-01,1.0617339891598505,-0.0817957317071294,0.17783039819191074
1976-03-01,1.011120581271097,-0.12397656815073964,0.16450507908820147
1976-04-01,1.0521076518505803,-0.06618845737363399,0.1829287885561534
1976-05-01,1.0237351420087335,-0.1250793886130197,0.16416559881393197
1976-06-01,1.0197788832302777,-0.05328973318451968,0.1872105141765232
1976-07-01,0.9837099912897176,-0.09221649788018992,0.17447667710966974
1976-08-01,0.9120648551648856,-0.17247119782217302,0.15000676442759062
1976-09-01,0.8550532640032931,-0.21001496493200245,0.13938565068180778
1976-10-01,0.9219118941699904,-0.14718670905124354,0.15745626503003557
1976-11-01,0.8555867249993262,-0.37524678437661174,0.09878230236080092
1976-12-01,1.1083337127370156,-0.04568915212556201,0.1897623012256223
1977-01-01,0.9877198594648672,-0.33159245853879415,0.108555909703756
1977-02-01,0.9379016261616826,-0.2087027498389411,0.139748023678397
1977-03-01,0.9231957678701688,-0.1777004855254113,0.14849589127736235
1977-04-01,0.8633616214622896,-0.24608816776733225,0.12967379114587804
1977-05-01,0.8099849739276472,-0.2509247983663001,0.1284081754824994
1977-06-01,0.8512871905637213,-0.26180474464040404,0.12559260181722512
1977-07-01,0.8767822191117481,-0.1807270417826662,0.147626107883502
1977-08-01,0.9251361350888264,-0.18958045446195948,0.1451014044857852
1977-09-01,0.9449811605505964,-0.1392138325202591,0.1598548725941499
1977-10-01,0.9310095841986334,-0.15382378027061594,0.15547766400074575
1977-11-01,0.9339801709741394,-0.13721235021960088,0.16046074409637648
1977-12-01,0.7853049470875838,-0.3386456652344404,0.10693134980793198
1978-01-01,0.7587030375251503,-0.3375082926271803,0.10719212717439544
1978-02-01,0.7141317271766402,-0.3432473816003482,0.10588093798163828
1978-03-01,0.7198637386015848,-0.34053452388820793,0.1064992830591962
1978-04-01,0.7353117681645004,-0.28830455440112035,0.11891593720925768
1978-05-01,0.7776714269052935,-0.24888916434675337,0.1289397970161892
1978-06-01,0.6222007182807374,-0.45962941092047904,0.0817439104298326
1978-07-01,0.6187085690170846,-0.3744288996361574,0.09895929127348524
1978-08-01,0.5981373777490661,-0.3993702385522716,0.09366572678161277
1978-09-01,0.6381015099065186,-0.3232273971859596,0.11050555050991498
1978-10-01,0.5641497987359325,-0.4974584371782813,0.07486716861104187
1978-11-01,0.6759448970423942,-0.2412616318635392,0.1309453519919448
1978-12-01,0.6532541104105585,-0.3800262643279893,0.0977526611158982
1979-01-01,0.702604369050579,-0.25506164981648594,0.1273324979319695
1979-02-01,0.6671887115386741,-0.31626523874275125,0.11214725605654616
1979-03-01,0.658788911062305,-0.17665955003667677,0.14879582970789992
1979-04-01,0.6687966878187225,-0.21260136572467617,0.1386732797165464
1979-05-01,0.7217913940558555,-0.24415282895981671,0.13018262929239838
1979-06-01,0.7660561848487495,-0.1524326833827674,0.15589100414316687
1979-07-01,0.6711907137257954,-0.24351325464408655,0.13035108913148347
1979-08-01,0.6016968629727698,-0.3266433143438646,0.1097063934143483
