date,gz_spr,baa_aaa,cp_treas1mo,dd_wp25,dd_wp50,dd_wp75,dd_wp50_all,gz_spr_p,gz_spr_oa_p,ebp,xmktret,cds1yr_bd_avg,cds5yr_bd_avg,sp500vix,xret_bd,termspr,ffr_r,empl,uerate,ipm
FEB1984,0.7373,1.2800,1.0600,2.8635,5.6309,7.4355,5.6352,0.8242,1.0276,-0.0869,,,,,,-2.5227,5.6122,77111.00,7.8000,47.4209
MAR1984,0.7777,1.2900,0.3800,3.4447,5.4474,7.3314,5.4715,0.7757,1.0702,0.0019,,,,,,-2.4157,6.1551,77381.00,7.8000,47.6326
APR1984,0.8073,1.3100,1.1900,4.4092,5.8535,7.7318,5.3777,0.7145,1.0931,0.0927,,,,,,-2.6788,6.5706,77699.00,7.7000,47.8717
MAY1984,0.7124,1.1700,1.2000,3.3841,5.0894,6.5665,5.0355,0.9974,1.0865,-0.2850,,,,,,-3.7151,6.3113,77979.00,7.4000,48.0048
JUN1984,0.6491,1.3000,1.9500,3.8592,5.3442,7.1833,5.0109,0.6831,1.1014,-0.0339,,,,,,-3.4917,6.2706,78334.00,7.2000,48.2257
JUL1984,0.8015,2.0100,1.2100,3.3493,5.3460,7.0643,4.9041,0.9676,1.0552,-0.1661,,,,,,-2.0838,7.4801,78601.00,7.5000,48.4564
AUG1984,0.8048,1.7600,0.7700,3.4050,5.9688,7.8616,5.6402,0.6358,1.1792,0.1690,,,,,,-1.7170,7.5317,78790.00,7.5000,48.5253
SEP1984,0.7946,1.8000,0.4300,3.7559,5.9036,7.9098,5.7018,0.8534,1.0622,-0.0588,,,,,,-1.8144,7.3063,79070.00,7.3000,48.4140
OCT1984,0.8499,1.4000,0.9000,3.1765,5.5358,7.7965,5.4124,1.1137,1.0782,-0.2638,,,,,,-2.3777,6.3144,79337.00,7.4000,48.5921
NOV1984,0.9139,1.3300,1.2300,2.9412,5.3221,7.9097,5.4579,0.9647,1.1000,-0.0508,,,,,,-2.8485,5.1975,79649.00,7.2000,48.7515
DEC1984,0.9057,1.2500,0.5200,2.8803,5.3803,7.2170,5.4243,0.8913,1.1857,0.0144,,,,,,-3.4608,5.0346,79805.00,7.3000,48.9337
JAN1985,1.0250,1.4400,0.5500,3.5020,5.5258,7.4297,5.9998,1.0602,1.1063,-0.0352,,,,,,-2.8426,4.7018,80017.00,7.3000,48.7299
FEB1985,0.8807,0.6700,1.0100,3.4964,5.5455,8.1155,6.0639,0.9591,1.1188,-0.0784,,,,,,-3.1263,4.5645,80128.00,7.2000,48.5539
MAR1985,0.8712,1.2700,0.6200,3.6270,6.0273,8.2619,6.3738,0.7499,1.1231,0.1213,,,,,,-3.2717,4.5893,80428.00,7.2000,48.9124
APR1985,0.9705,1.3300,0.9100,3.8808,6.3371,8.5548,6.4214,0.9798,1.1894,-0.0093,,,,,,-3.3913,4.6497,80588.00,7.3000,48.7427
MAY1985,1.2362,1.9800,0.4900,4.5000,6.2117,9.0241,6.5484,1.3743,1.1722,-0.1381,,,,,,-3.0168,4.0462,80818.00,7.2000,48.8194
JUN1985,1.1979,1.4100,0.9300,4.7990,6.9766,9.3251,7.0479,0.9338,1.1626,0.2641,,,,,,-3.3380,4.2785,80939.00,7.4000,48.9002
JUL1985,1.1041,1.2000,0.7000,4.5297,6.3868,8.8667,6.7534,0.9390,1.1281,0.1651,,,,,,-3.1844,4.9252,81006.00,7.4000,48.6007
AUG1985,1.1599,1.5900,0.6800,4.7267,6.6378,8.7293,6.7646,0.9532,1.1137,0.2066,,,,,,-3.0395,4.3516,81200.00,7.1000,48.8956
SEP1985,1.1851,1.4100,0.9000,4.1064,6.2342,8.3975,6.2444,0.8757,1.2276,0.3094,,,,,,-3.2014,5.2743,81385.00,7.1000,48.9650
OCT1985,1.2461,1.5300,0.6900,4.8606,6.7620,8.5522,6.7471,0.9213,1.1656,0.3248,,,,,,-2.7549,4.4382,81556.00,7.1000,48.8473
NOV1985,1.2780,1.5800,1.2500,5.5454,6.4821,9.4352,6.5081,0.9748,1.0148,0.3032,,,,,,-2.4197,4.8914,81745.00,7.0000,49.1812
DEC1985,1.4733,1.6700,1.9000,5.4913,7.0791,10.3400,6.5664,1.3953,0.9766,0.0779,,,,,,-1.9129,9.7297,81893.00,7.0000,49.3890
JAN1986,1.4554,1.4000,1.0300,5.5179,6.9929,9.8162,6.6127,1.0768,0.9722,0.3787,,,,,,-2.1109,4.4732,81995.00,6.7000,49.9424
FEB1986,1.5897,1.4900,0.7600,5.9846,7.6556,10.8423,6.7949,1.9134,1.0864,-0.3236,,,,,,-1.0707,4.3008,82058.00,7.2000,49.6609
MAR1986,1.9807,1.5800,1.0000,4.7063,7.9730,10.8684,6.2695,1.4561,0.7260,0.5246,,,,,,-1.0620,4.5852,82155.00,7.2000,49.5282
APR1986,1.8870,1.2200,1.2500,4.0054,7.3447,10.3150,6.2328,1.3889,0.7921,0.4981,,,,,,-1.3602,3.5469,82333.00,7.1000,49.6252
MAY1986,1.6297,1.1700,0.7200,4.4986,6.9235,10.4498,6.7062,1.6132,0.9948,0.0166,,,,,,-1.8784,3.2097,82433.00,7.2000,49.6999
JUN1986,1.8617,1.2000,0.9900,4.1452,7.4606,10.0521,6.6889,1.8939,1.0007,-0.0322,,,,,,-1.6705,4.1412,82351.00,7.2000,49.5270
JUL1986,2.0396,1.4000,0.7500,3.4246,7.0717,10.1667,6.0560,1.3038,0.9008,0.7358,,,,,,-1.8693,2.6296,82669.00,7.0000,49.8283
AUG1986,2.1743,1.4300,0.5200,3.8681,7.8478,10.3479,6.5376,1.4998,0.7861,0.6745,,,,,,-2.0199,1.9663,82761.00,6.9000,49.9409
SEP1986,1.7966,1.3100,0.8500,3.6919,7.0934,8.9532,6.0246,1.5032,0.9953,0.2934,,,,,,-2.5403,3.2656,82997.00,7.0000,50.0448
OCT1986,1.8671,1.3700,0.6000,4.0612,7.4912,9.4003,6.6200,1.3278,0.9978,0.5393,,,,,,-2.3198,2.1516,83125.00,7.0000,50.2401
NOV1986,2.0277,1.4700,0.8700,3.7964,7.4137,9.5792,6.4743,1.3659,1.0083,0.6618,,,,,,-1.9456,2.1308,83275.00,6.9000,50.4787
DEC1986,1.9226,1.4600,2.2800,4.2557,6.9520,9.1586,5.9749,1.2414,1.1226,0.6811,,,,,,-1.7063,10.4734,83463.00,6.6000,50.9329
JAN1987,1.7732,1.3200,0.3900,4.9768,7.8202,9.8633,6.6001,1.2306,1.0413,0.5426,,,,,,-1.6713,2.4586,83610.00,6.6000,50.7662
FEB1987,1.9243,1.2600,0.6800,4.8629,8.0424,9.8811,6.9904,1.3044,1.0091,0.6198,,,,,,-1.7742,2.2650,83851.00,6.6000,51.5080
MAR1987,1.8845,1.2300,1.1300,5.3487,7.7027,9.0737,6.6682,1.3646,1.0318,0.5199,,,,,,-1.8623,2.5101,84072.00,6.6000,51.5353
APR1987,1.6193,1.2000,1.6500,5.4159,7.2856,9.3204,6.3983,2.0348,1.3327,-0.4155,,,,,,-2.6882,3.9919,84365.00,6.3000,51.8364
MAY1987,1.6301,1.1700,1.4400,5.6624,7.3717,9.1794,6.3748,1.3872,1.0634,0.2428,,,,,,-2.7393,2.9103,84589.00,6.3000,52.2250
JUN1987,1.5804,1.1700,1.8600,5.7517,7.5389,9.6294,6.4701,1.3423,1.0481,0.2381,,,,,,-2.6171,2.8450,84748.00,6.2000,52.4264
JUL1987,1.7247,1.2000,1.0500,6.1885,7.4847,9.6836,6.6643,1.2109,0.9599,0.5138,,,,,,-2.5021,3.1287,85058.00,6.1000,52.7913
AUG1987,1.5993,1.1300,1.0400,6.7662,8.1935,10.2252,7.0065,1.0972,0.9495,0.5021,,,,,,-2.6029,3.2826,85216.00,6.0000,53.0560
SEP1987,1.6119,1.1300,1.1100,5.7521,7.1526,9.0509,6.4127,1.0997,1.0109,0.5122,,,,,,-2.8647,4.6126,85482.00,5.9000,53.3964
OCT1987,1.3951,1.1400,2.6900,3.3297,4.3769,6.0702,3.7751,2.2727,1.6530,-0.8776,,,,,,-3.5715,2.8264,85840.00,6.0000,54.3194
NOV1987,1.4641,1.1000,3.1400,2.7103,3.5290,5.1703,3.3494,1.2126,1.3134,0.2516,,,,,,-3.7132,3.3511,86041.00,5.8000,54.6220
DEC1987,1.3496,1.1600,3.0700,2.9025,3.7229,5.3210,3.3801,1.3622,1.2299,-0.0127,,,,,,-3.0998,3.1182,86287.00,5.7000,54.9779
JAN1988,1.5986,1.2500,1.3400,3.0918,3.9548,5.5087,3.7418,1.8259,1.3131,-0.2273,,,,,,-2.6389,3.0114,86363.00,5.7000,54.8702
FEB1988,1.5581,1.2400,1.3100,2.8449,3.9794,5.4091,3.6786,1.3486,1.2264,0.2095,,,,,,-2.5625,2.8164,86791.00,5.7000,54.9986
MAR1988,1.4994,1.2000,0.7700,2.1027,3.9193,4.7438,3.3988,1.5578,1.2921,-0.0585,,,,,,-2.8570,2.9806,87009.00,5.7000,55.1989
APR1988,1.4459,1.2100,1.1500,2.1542,3.8886,4.8385,3.3223,1.4355,1.2540,0.0103,,,,,,-2.8742,2.9681,87249.00,5.4000,55.6791
MAY1988,1.4403,1.0700,1.4800,2.1818,3.6132,4.9223,3.4787,1.3666,1.2842,0.0736,,,,,,-2.6715,3.3446,87447.00,5.6000,55.6356
JUN1988,1.3818,1.1500,1.8600,1.9108,4.0241,5.2659,3.6934,1.3093,1.2493,0.0726,,,,,,-2.1625,4.0518,87776.00,5.4000,55.7363
JUL1988,1.3711,1.1600,1.5000,2.2196,3.8958,4.6880,3.5219,1.5875,1.3062,-0.2164,,,,,,-2.1239,3.4937,88020.00,5.4000,55.7902
AUG1988,1.3379,1.0900,0.6100,2.0719,3.4982,4.4993,3.2617,1.3592,1.2771,-0.0212,,,,,,-1.7884,3.6974,88091.00,5.6000,55.8380
SEP1988,1.3688,0.8400,1.1900,2.3074,3.6452,4.9278,3.5104,1.2388,1.2364,0.1300,,,,,,-1.4803,4.2294,88341.00,5.4000,55.9911
OCT1988,1.4545,0.8400,1.4600,2.3205,4.1381,5.0732,3.5074,1.2378,1.2309,0.2167,,,,,,-1.1491,3.9723,88573.00,5.4000,56.2828
NOV1988,1.3862,1.0800,1.9800,3.7869,6.9176,7.8618,5.3033,1.3026,1.1000,0.0836,,,,,,-1.0382,4.1348,88836.00,5.3000,56.4495
DEC1988,1.3237,1.0800,2.4700,4.4904,7.5598,8.6272,6.0355,1.1193,1.0668,0.2044,,,,,,-0.8411,4.6221,89135.00,5.3000,56.6799
JAN1989,1.3801,1.0000,1.1800,1.2165,5.4818,9.3345,4.6742,1.2657,1.0427,0.1144,,,,,,-0.3539,4.6080,89359.00,5.4000,57.1643
FEB1989,1.2480,0.9100,2.2400,1.1197,5.8085,9.0301,4.7677,1.2748,1.0474,-0.0269,,,,,,-0.3655,5.3113,89579.00,5.2000,56.6011
MAR1989,1.2925,0.7600,1.1800,1.0078,5.9384,9.6597,4.5211,1.0565,1.0411,0.2360,,,,,,-0.1427,5.1777,89761.00,5.0000,56.5343
APR1989,1.4902,0.8600,1.1400,2.5727,6.7835,10.5627,4.8906,1.0027,0.9724,0.4875,,,,,,-0.4150,5.3352,89916.00,5.2000,56.6430
MAY1989,1.5566,0.9100,1.1900,2.6772,7.0043,11.0375,4.9948,1.3684,0.9454,0.1883,,,,,,0.2036,6.1452,89998.00,5.2000,56.1442
JUN1989,1.6384,0.9200,1.1400,2.4510,6.6620,10.8232,5.0607,1.2677,0.8964,0.3708,,,,,,0.0346,5.3539,90079.00,5.3000,56.2952
JUL1989,1.7454,0.9600,0.7400,2.0048,5.1812,10.2010,5.6998,1.1300,0.8168,0.6154,,,,,,0.1852,4.8493,90125.00,5.2000,55.6358
AUG1989,1.5278,0.9100,1.1000,3.0185,8.0439,11.8352,5.6871,1.2009,0.7772,0.3269,,,,,,-0.1982,5.0118,90088.00,5.2000,56.1412
SEP1989,1.2727,0.8900,1.1700,3.0583,8.2875,11.5297,5.5586,0.9230,0.7951,0.3497,,,,,,-0.2501,5.4525,90299.00,5.3000,56.0330
OCT1989,1.2610,0.8400,0.9000,2.7477,7.2003,10.5225,4.7785,1.0202,0.8532,0.2408,,,,,,-0.0051,5.2678,90404.00,5.3000,55.9165
NOV1989,1.2805,0.9400,1.3100,2.3621,7.4138,10.5829,4.9722,0.8532,0.8695,0.4272,,,,,,-0.0926,4.9603,90657.00,5.4000,56.0026
DEC1989,1.2521,0.9700,1.7600,2.2517,7.8007,10.9392,5.0791,0.8828,0.8242,0.3693,,,,,,-0.2490,4.3156,90734.00,5.4000,56.0508
JAN1990,1.1238,0.9600,1.0300,3.9451,6.9534,10.2402,5.5716,1.0360,0.8810,0.0878,,,,,,-0.5116,4.6590,91000.00,5.4000,55.9480
FEB1990,1.0856,0.9400,0.9400,4.0312,7.2495,9.8981,5.5979,0.8765,0.9234,0.2090,,,,,,-0.5814,4.8288,91219.00,5.3000,56.7782
MAR1990,1.1800,0.8400,0.3700,4.5845,7.8286,10.3913,6.0021,0.8612,0.9342,0.3188,,,,,,-0.6851,4.5967,91317.00,5.2000,57.0605
APR1990,0.8909,0.9100,0.8800,4.3727,7.2386,9.4817,5.6236,0.9540,0.9237,-0.0632,,,,,,-1.0624,4.2816,91274.00,5.4000,56.9142
MAY1990,0.7935,0.9400,0.8700,5.0812,7.5022,9.9380,5.6708,0.8942,0.8733,-0.1007,,,,,,-0.6788,4.2122,91201.00,5.4000,57.0164
JUN1990,0.7969,0.9800,0.6400,4.8648,7.0136,9.2869,5.5796,0.7920,0.9038,0.0050,,,,,,-0.5306,4.2055,91261.00,5.2000,57.1840
JUL1990,0.7997,0.9200,0.4200,2.5718,4.6486,8.8041,5.4464,0.8236,0.9597,-0.0239,,,,,,-0.6896,3.7625,91215.00,5.5000,57.1017
AUG1990,0.7753,0.9700,0.5400,2.1799,4.5066,6.3080,4.2882,1.0786,1.0465,-0.3033,,,,,,-1.3229,3.7742,91110.00,5.7000,57.2479
SEP1990,0.7987,1.1600,1.1000,1.5603,3.4714,5.8246,3.4714,0.8900,1.0476,-0.0913,,,,,,-1.5471,3.4708,91048.00,5.9000,57.2763
OCT1990,1.0188,1.2900,1.2500,1.6935,3.5287,6.1739,3.1135,0.9630,1.0963,0.0558,,,,,,-1.3729,4.9652,90881.00,5.9000,56.7939
NOV1990,1.2394,1.3600,0.9500,2.3921,3.8772,6.7875,3.6811,1.0208,1.0775,0.2185,,,,,,-1.1038,3.0836,90730.00,6.2000,56.1469
DEC1990,1.2129,1.3800,1.8300,2.2252,3.4002,6.1368,3.4002,1.0580,1.0683,0.1549,,,,,,-1.6065,1.1429,90652.00,6.3000,55.6887
JAN1991,1.2521,1.3400,1.0400,2.9361,3.6823,5.9352,3.6823,1.0527,1.0641,0.1994,,,,,,-1.7812,3.9109,90527.00,6.4000,55.2615
FEB1991,1.0853,1.2500,0.8500,3.2594,4.1964,6.7434,4.1964,0.9652,1.0300,0.1201,,,,,,-1.9263,2.5669,90213.00,6.6000,54.9067
MAR1991,1.0184,1.1100,0.3200,3.2914,4.2838,6.8832,4.2838,0.9514,1.0447,0.0670,,,,,,-2.2766,1.3088,90047.00,6.8000,54.5636
APR1991,1.0488,1.0200,0.3900,2.7914,4.3433,6.9461,4.3433,0.9831,1.0454,0.0658,,,,,,-2.4884,2.0640,89839.00,6.7000,54.7189
MAY1991,1.0232,0.9500,0.3500,2.5564,4.6441,6.5423,4.7753,0.9374,1.0027,0.0858,,,,,,-2.5261,2.1840,89698.00,6.9000,55.1419
JUN1991,1.0247,0.8800,0.8000,2.3153,4.0603,5.9648,4.1545,1.0156,1.0976,0.0091,,,,,,-2.7193,2.9592,89722.00,6.9000,55.7963
JUL1991,1.1072,0.8700,0.3600,2.1980,4.0976,6.5329,4.0976,1.0134,1.0938,0.0938,,,,,,-2.5877,2.2367,89638.00,6.8000,55.9443
AUG1991,1.0306,0.8800,0.3100,2.1095,4.1726,6.4207,4.1726,0.9760,0.9959,0.0547,,,,,,-2.5140,1.7789,89684.00,6.9000,56.0528
SEP1991,1.1145,0.8800,0.4100,2.4265,4.2229,7.0068,4.6212,1.0452,0.9828,0.0693,,,,,,-2.3912,1.9723,89743.00,6.9000,56.6739
OCT1991,1.1009,0.9200,0.2400,2.3314,4.5624,6.8320,4.7771,1.0225,0.9527,0.0784,,,,,,-2.6982,1.5227,89705.00,7.0000,56.5538
NOV1991,1.0933,1.0000,0.7100,2.2888,4.5705,6.5886,4.7561,0.9988,0.9859,0.0945,,,,,,-3.1329,1.2576,89613.00,7.0000,56.4271
DEC1991,1.1826,0.9400,0.2700,2.1339,5.3536,7.1319,5.3536,1.1503,0.9817,0.0323,,,,,,-3.0257,0.4011,89622.00,7.3000,56.3805
JAN1992,1.0327,0.9400,0.3300,2.5303,5.6066,7.4851,5.6589,1.0700,0.9760,-0.0373,,,,,,-3.5758,0.5836,89624.00,7.3000,56.0282
FEB1992,0.9859,0.9000,0.2500,3.0696,5.3774,7.8191,5.5627,0.9923,0.9785,-0.0064,,,,,,-3.4785,0.5104,89557.00,7.4000,56.6028
MAR1992,0.9270,0.8700,0.1400,2.7918,4.6330,7.2758,4.6330,0.9729,0.9827,-0.0458,,,,,,-3.5394,0.4489,89581.00,7.4000,57.1692
APR1992,0.9408,0.8500,0.3500,3.5454,5.1909,7.9949,5.5647,0.9625,0.9603,-0.0218,,,,,,-3.9451,0.1949,89715.00,7.4000,57.4968
MAY1992,0.9339,0.8700,0.2100,3.4299,5.3851,7.9216,5.5360,1.0262,0.9870,-0.0923,,,,,,-3.6985,0.0328,89827.00,7.6000,57.8270
JUN1992,0.9097,0.8200,0.2900,4.0331,4.6983,7.3352,5.1288,1.0483,1.0196,-0.1386,,,,,,-3.7401,1.0356,89878.00,7.8000,58.0353
JUL1992,0.9456,0.6900,0.2800,3.8192,4.7638,7.7113,5.3144,1.1668,1.0274,-0.2212,,,,,,-3.7137,0.0312,89894.00,7.7000,58.5201
AUG1992,1.1206,0.7200,0.3000,2.8475,4.7143,7.5068,4.7143,1.1665,1.0324,-0.0460,,,,,,-3.7246,0.1199,89969.00,7.6000,58.2939
SEP1992,1.2227,0.7200,0.5500,2.6655,4.7598,7.3665,4.7598,1.1891,1.0259,0.0336,,,,,,-3.9954,1.2938,90058.00,7.6000,58.3294
OCT1992,1.1567,0.9000,0.4500,2.2650,4.8216,7.1653,4.9333,1.1455,1.0098,0.0112,,,,,,-4.0234,0.1425,90236.00,7.3000,58.7193
NOV1992,1.1153,0.8700,0.5400,2.5888,5.2106,7.3860,5.5396,1.0583,0.9814,0.0570,,,,,,-3.8365,0.4398,90363.00,7.4000,58.9588
DEC1992,1.1704,0.8500,0.5900,2.8951,5.5813,7.8830,5.8844,1.0779,0.9636,0.0925,,,,,,-3.5500,-0.3018,90537.00,7.4000,58.8407
JAN1993,1.1913,0.7000,0.3300,2.5563,4.9069,7.8682,5.4922,1.1433,0.9708,0.0480,,,,,,-3.6863,0.2225,90824.00,7.3000,59.4451
FEB1993,1.2172,0.6200,0.4800,2.3124,4.8282,8.1980,5.5865,1.2105,0.9684,0.0067,,,,,,-3.3372,0.5008,91065.00,7.1000,59.5284
MAR1993,1.1843,0.5800,0.3500,2.6432,5.3132,7.9933,5.4302,1.1649,0.9801,0.0195,,,,,,-3.4121,1.3242,91009.00,7.0000,59.4170
APR1993,1.2259,0.7600,0.2100,2.5784,4.9782,7.4839,5.4185,1.1999,0.9900,0.0260,,,,,,-3.0800,0.6039,91287.00,7.1000,59.7569
MAY1993,1.1367,0.8000,0.1400,2.6623,4.8245,7.6814,5.3028,1.1316,0.9789,0.0051,,,,,,-3.1959,0.6817,91539.00,7.1000,59.7127
JUN1993,1.1330,0.7200,0.3600,2.4739,5.0274,8.1152,5.4625,1.2095,1.0227,-0.0765,,,,,,-2.8677,1.4299,91694.00,7.0000,59.6215
JUL1993,1.1046,0.8000,0.2500,2.6413,5.0035,8.0062,5.4419,1.1878,1.0289,-0.0833,,,,,,-2.8789,0.6133,91898.00,6.9000,59.8027
AUG1993,1.1522,0.7100,0.2200,2.5106,5.1298,8.3681,5.7113,1.2633,1.0387,-0.1111,,,,,,-2.5474,0.9547,92091.00,6.8000,59.7638
SEP1993,1.1887,0.6700,0.3400,2.5143,5.1689,8.0964,5.8688,1.2094,1.0322,-0.0207,,,,,,-2.6061,1.6870,92319.00,6.7000,60.1691
OCT1993,1.1372,0.6700,0.2700,3.1175,5.4843,8.1109,6.2166,1.2309,1.0430,-0.0937,,,,,,-2.5292,0.7401,92595.00,6.8000,60.6754
NOV1993,1.0877,0.7500,0.3100,3.5074,5.2528,8.0844,5.7565,1.2387,1.0716,-0.1510,,,,,,-2.7503,1.0690,92830.00,6.6000,60.9268
DEC1993,1.0576,0.7700,0.3200,3.3983,5.0095,7.6043,5.5875,1.2370,1.0942,-0.1794,,,,,,-2.9076,0.6783,93097.00,6.5000,61.2871
JAN1994,1.0087,0.7000,0.2700,3.8838,5.7732,8.4935,5.8329,1.2586,1.0902,-0.2499,,,,,,-2.7536,1.5893,93327.00,6.6000,61.4198
FEB1994,0.9149,0.6700,0.5500,2.9497,5.5173,8.0720,5.6525,1.3610,1.1850,-0.4461,,,,,,-2.9075,1.5279,93525.00,6.6000,61.5190
MAR1994,0.9896,0.6400,0.2400,3.2429,4.7167,7.6689,5.0158,1.3340,1.1931,-0.3444,,,,,,-3.3536,2.1443,93947.00,6.5000,62.3646
APR1994,0.9907,0.6400,0.2300,3.0003,4.7400,7.5888,5.0521,1.3066,1.1939,-0.3159,,,,,,-3.2004,1.5451,94267.00,6.4000,62.8720
MAY1994,1.0206,0.6500,0.4800,2.7848,4.9528,7.6716,5.1624,1.3377,1.2079,-0.3171,,,,,,-3.0123,2.5470,94557.00,6.1000,63.3217
JUN1994,0.9889,0.6800,0.9000,2.9913,3.9098,7.4658,4.9161,1.3542,1.2389,-0.3653,,,,,,-3.2384,3.9804,94862.00,6.1000,63.5513
JUL1994,0.9785,0.6900,0.4600,3.4208,4.2530,8.0319,5.0801,1.3013,1.1881,-0.3228,,,,,,-2.8349,2.1170,95198.00,6.1000,63.8611
AUG1994,0.9561,0.6600,0.4500,2.9184,4.2151,8.3462,5.4607,1.2512,1.1626,-0.2951,,,,,,-2.5781,2.4258,95493.00,6.0000,64.3399
SEP1994,0.9153,0.6200,0.4900,2.7684,3.9835,7.7362,5.1656,1.3502,1.2401,-0.4350,,,,,,-2.9087,3.1730,95816.00,5.9000,64.5336
OCT1994,0.9425,0.6300,0.6200,2.8108,3.8331,7.8643,5.2037,1.2762,1.2150,-0.3337,,,,,,-2.6931,2.5982,96016.00,5.8000,65.2146
NOV1994,0.9849,0.6400,1.1100,2.3769,3.8281,7.2624,4.8929,1.3054,1.2537,-0.3205,,,,,,-2.2244,3.2862,96416.00,5.6000,65.7313
DEC1994,1.0112,0.6500,1.1000,2.5536,3.9237,7.3888,5.1341,1.2850,1.2445,-0.2738,,,,,,-2.2579,2.6388,96669.00,5.5000,66.5262
JAN1995,1.0482,0.5900,0.8700,1.7277,4.0249,7.4997,5.4281,1.3382,1.2543,-0.2899,,,,,,-1.6727,3.5626,96981.00,5.6000,66.7396
FEB1995,0.9928,0.5900,0.9600,1.8469,4.3990,7.5788,5.5277,1.3303,1.2337,-0.3375,,,,,,-1.3943,3.6360,97180.00,5.4000,66.6361
MAR1995,0.9997,0.5600,0.2700,2.1075,4.8268,8.2459,5.7634,1.3399,1.2271,-0.3401,,,,,,-1.4477,3.8776,97382.00,5.4000,66.8103
APR1995,0.9876,0.5700,0.2900,2.2913,5.1097,8.5258,6.3299,1.2513,1.1739,-0.2637,,,,,,-1.2687,3.7138,97537.00,5.8000,66.7281
MAY1995,1.0703,0.5700,0.4500,2.5952,5.3452,8.7482,6.5825,1.4804,1.2454,-0.4101,,,,,,-0.6145,3.7150,97537.00,5.6000,66.7626
JUN1995,1.1073,0.6000,0.6900,2.9963,5.6099,8.7811,6.5730,1.2959,1.1279,-0.1886,,,,,,-0.7323,3.7131,97741.00,5.6000,67.0721
JUL1995,1.0317,0.6200,0.3500,2.8526,5.7230,9.0899,6.7377,1.3821,1.1745,-0.3504,,,,,,-0.9771,3.7343,97828.00,5.7000,66.6620
AUG1995,1.0474,0.6300,0.4400,3.0775,5.5431,9.3187,6.7519,1.2985,1.1307,-0.2511,,,,,,-0.9513,3.7994,98107.00,5.7000,67.4732
SEP1995,1.0459,0.6100,0.6400,2.8597,5.3604,9.2061,6.4312,1.2558,1.1120,-0.2098,,,,,,-0.8839,3.9773,98351.00,5.6000,68.0471
OCT1995,1.1306,0.6600,0.7600,2.0958,4.8609,9.3225,6.2004,1.3125,1.1446,-0.1819,,,,,,-0.6356,3.7806,98464.00,5.5000,67.9744
NOV1995,1.1713,0.6800,0.3300,2.3242,5.2695,9.4802,6.4656,1.2651,1.1021,-0.0938,,,,,,-0.4023,3.9075,98613.00,5.6000,68.0224
DEC1995,1.1913,0.6700,1.0200,2.3580,5.5787,9.9435,6.6380,1.2758,1.0782,-0.0845,,,,,,-0.6023,2.6428,98741.00,5.6000,68.3262
JAN1996,1.1872,0.6400,0.7100,3.3120,6.6386,10.5769,7.7596,1.2971,1.0994,-0.1099,,,,,,-0.6665,3.5281,98738.00,5.6000,67.8378
FEB1996,1.0881,0.6600,0.2800,3.6728,6.9557,10.2155,7.6615,1.4159,1.1751,-0.3279,,,,,,-1.2080,4.0088,99137.00,5.5000,68.9576
MAR1996,1.0541,0.7000,0.2000,3.9464,6.8044,10.0085,7.5939,1.3932,1.1739,-0.3392,,,,,,-1.3695,3.2538,99353.00,5.5000,68.8193
APR1996,1.0206,0.6800,0.4800,4.0148,6.5381,9.5461,7.2568,1.3128,1.1449,-0.2922,,,,,,-1.6278,3.5298,99531.00,5.6000,69.5745
MAY1996,0.9630,0.6600,0.3300,4.0707,6.6766,9.7543,7.4521,1.2878,1.1460,-0.3248,,,,,,-1.7589,3.4454,99840.00,5.6000,70.0679
JUN1996,1.0006,0.7000,0.6800,3.4480,6.6242,10.1806,7.5100,1.3030,1.1548,-0.3024,,,,,,-1.6085,3.1350,100119.0,5.3000,70.8809
JUL1996,1.0068,0.7200,0.5100,3.4829,5.7332,9.1307,6.5535,1.3846,1.2377,-0.3777,,,,,,-1.5179,4.8890,100332.0,5.5000,71.1156
AUG1996,0.9698,0.6800,0.2600,3.8070,5.7785,9.0434,6.7330,1.4100,1.2491,-0.4402,,,,,,-1.7322,3.3764,100571.0,5.1000,71.5356
SEP1996,0.9589,0.6800,0.3600,3.2732,6.1570,9.6562,6.7696,1.3846,1.2392,-0.4257,,,,,,-1.7462,4.3278,100728.0,5.2000,72.0244
OCT1996,1.0073,0.6800,0.2900,3.3735,6.0951,10.0104,6.7444,1.3933,1.2351,-0.3860,,,,,,-1.2710,3.6996,100984.0,5.2000,71.9480
NOV1996,1.0533,0.7000,0.3700,3.8051,6.5265,10.6047,7.2276,1.4055,1.2071,-0.3523,,,,,,-0.9944,3.5116,101269.0,5.4000,72.5170
DEC1996,1.0037,0.7000,0.4700,3.5866,6.0580,9.3314,6.6933,1.4512,1.2637,-0.4475,,,,,,-1.2640,4.2492,101430.0,5.4000,73.1206
JAN1997,1.0177,0.6400,0.3900,4.3826,6.1832,9.1716,6.8523,1.3699,1.2298,-0.3521,,,,,,-1.4110,3.4447,101638.0,5.3000,73.1384
FEB1997,0.9455,0.6200,0.2500,4.2997,6.2702,8.8425,6.7929,1.4342,1.2662,-0.4887,,,,,,-1.4157,3.5657,101934.0,5.2000,74.1569
MAR1997,0.9426,0.6100,0.3900,3.9847,5.6931,8.3943,6.3470,1.4615,1.3043,-0.5189,,,,,,-1.6601,5.0411,102236.0,5.2000,75.0785
