date,gz_spr,baa_aaa,cp_treas1mo,dd_wp25,dd_wp50,dd_wp75,dd_wp50_all,gz_spr_p,gz_spr_oa_p,ebp,xmktret,cds1yr_bd_avg,cds5yr_bd_avg,sp500vix,xret_bd,termspr,ffr_r,empl,uerate,ipm
NOV1974,1.9178,1.7100,1.2100,2.7544,4.7665,6.6895,2.6136,1.1054,1.3522,0.8124,,,,,,0.1125,0.2861,63727.00,6.6000,38.0442
DEC1974,2.2116,1.7400,2.0800,3.3019,4.9525,7.3680,3.0263,1.2919,1.1510,0.9197,,,,,,-0.1338,-5.5608,63098.00,7.2000,36.3016
JAN1975,1.3703,1.9800,0.7200,3.9693,5.5081,7.9444,3.7532,1.0916,1.1344,0.2786,,,,,,-1.5185,-2.8210,62673.00,8.1000,35.5630
FEB1975,1.3198,2.0300,1.1100,3.9466,5.8447,7.6466,3.8158,0.9679,1.1638,0.3519,,,,,,-1.7055,-3.6075,62172.00,8.1000,34.5429
MAR1975,1.5550,1.8100,0.3700,4.1990,5.7712,7.1625,3.8685,1.0520,1.1030,0.5030,,,,,,-1.8402,-4.3562,61895.00,8.6000,34.0915
APR1975,1.2260,1.6300,0.3900,3.9480,5.8727,7.3865,3.9146,1.0712,1.0431,0.1548,,,,,,-2.4101,-2.4608,61668.00,8.8000,34.0224
MAY1975,1.2871,1.7900,-0.0200,4.4602,6.2702,7.5214,4.4020,0.9814,1.0269,0.3057,,,,,,-2.3969,-4.0014,61796.00,9.0000,34.0023
JUN1975,1.1816,1.8500,-0.0600,4.8355,6.8716,8.0074,4.8840,0.9768,0.9982,0.2048,,,,,,-1.6884,-2.7400,61735.00,8.8000,34.3044
JUL1975,1.2310,1.7100,0.1500,4.7219,6.7463,7.8159,4.7759,0.8914,1.0362,0.3396,,,,,,-1.4058,-1.9405,61907.00,8.6000,34.8383
AUG1975,1.1993,1.6400,0.2500,4.9453,7.2384,7.9619,4.9735,0.9507,1.0080,0.2486,,,,,,-1.4756,-1.7733,62284.00,8.4000,35.1539
SEP1975,1.1587,1.6600,0.0000,5.1529,7.4436,7.9804,5.1696,0.8987,1.0119,0.2600,,,,,,-1.5093,-1.0716,62408.00,8.4000,35.7577
OCT1975,1.1119,1.7600,0.1100,5.7755,7.8890,9.1468,5.6879,0.9989,0.9309,0.1130,,,,,,-2.1498,-1.2873,62635.00,8.4000,35.9367
NOV1975,1.0885,1.7800,0.1100,6.0494,7.8611,8.8298,5.9758,0.8981,0.9396,0.1904,,,,,,-2.2956,-1.3630,62776.00,8.3000,36.0570
DEC1975,1.0168,1.7700,0.2800,6.0439,8.3375,10.3740,6.0094,1.0426,0.9135,-0.0258,,,,,,-2.3388,-1.2150,63071.00,8.2000,36.5273
JAN1976,0.8317,1.8100,0.1700,7.0433,9.1151,11.3698,6.9207,0.8865,0.8402,-0.0548,,,,,,-2.8349,-1.6459,63537.00,7.9000,37.0321
FEB1976,0.8970,1.6900,0.1800,6.6550,8.8742,11.3439,6.5273,0.8811,0.8347,0.0159,,,,,,-2.4823,-1.5202,63836.00,7.7000,37.5913
MAR1976,0.8554,1.6000,0.0900,7.0405,8.9702,12.1251,6.6473,0.8772,0.8466,-0.0218,,,,,,-2.4704,-1.0336,64062.00,7.6000,37.6692
APR1976,0.8819,1.5400,0.0100,7.1371,9.6198,13.0615,7.1062,0.8549,0.8263,0.0269,,,,,,-2.5088,-0.8088,64308.00,7.7000,37.9074
MAY1976,0.8969,1.2800,-0.0400,7.0153,9.9078,11.7474,6.6672,0.9043,0.8436,-0.0074,,,,,,-2.1857,-0.1395,64340.00,7.4000,38.1065
JUN1976,0.9017,1.2700,-0.0300,7.3393,10.1414,12.8605,6.8766,0.8342,0.8362,0.0674,,,,,,-2.2073,-0.1374,64413.00,7.6000,38.1200
JUL1976,0.8774,1.2600,0.0500,7.2830,9.8874,12.8072,6.8787,0.8234,0.8217,0.0540,,,,,,-2.3894,-0.4470,64553.00,7.8000,38.3921
AUG1976,0.8142,1.1900,0.1400,8.3056,10.5039,13.7877,7.4192,0.8366,0.8066,-0.0224,,,,,,-2.3369,-0.3903,64697.00,7.8000,38.6390
SEP1976,0.7881,1.0200,-0.4300,8.5223,10.8113,14.8793,7.6942,0.8214,0.7818,-0.0334,,,,,,-2.2696,-0.6161,64921.00,7.6000,38.7208
OCT1976,0.8337,0.9700,0.0100,8.8205,11.0149,15.7346,7.7183,0.8170,0.7478,0.0167,,,,,,-2.2894,-0.9502,64877.00,7.7000,38.7092
NOV1976,0.8580,0.9800,0.1500,7.9900,10.4787,14.9507,7.7291,1.0065,0.8169,-0.1485,,,,,,-2.4073,-1.2717,65164.00,7.8000,39.2091
DEC1976,0.9584,1.1400,0.2600,8.4315,11.3558,15.4960,8.2096,0.9035,0.7189,0.0550,,,,,,-2.2599,-1.5816,65373.00,7.8000,39.6140
JAN1977,0.9002,1.1200,-0.0500,8.1609,11.3039,15.4912,8.1360,1.0720,0.7955,-0.1718,,,,,,-2.4161,-1.0308,65636.00,7.5000,39.5154
FEB1977,0.8100,1.0800,0.0400,7.9189,11.1541,14.5395,7.7544,0.8938,0.7978,-0.0838,,,,,,-2.5113,-1.0391,65931.00,7.6000,40.1972
MAR1977,0.8955,1.0200,0.1200,7.4619,10.1574,14.5419,7.8570,0.8519,0.7771,0.0436,,,,,,-2.6741,-1.2609,66341.00,7.4000,40.7854
APR1977,0.9001,1.0300,-0.1600,7.7565,10.8449,14.7316,8.0818,0.8866,0.7478,0.0134,,,,,,-2.5374,-0.9514,66655.00,7.2000,41.2202
MAY1977,0.8456,0.9600,0.4500,7.5460,10.4338,14.5893,8.2592,0.9240,0.8315,-0.0784,,,,,,-2.1596,-0.7098,66957.00,7.0000,41.5812
JUN1977,0.7691,0.9600,0.3200,8.3177,10.4899,16.7135,8.7830,0.9174,0.7700,-0.1483,,,,,,-2.0634,-0.5813,67281.00,7.2000,41.9382
JUL1977,0.8300,0.9300,-0.1400,8.0499,10.4330,16.4270,8.7084,0.9011,0.8130,-0.0711,,,,,,-1.7895,-0.5499,67537.00,6.9000,41.9449
AUG1977,0.7525,0.8400,0.4100,7.7775,9.8317,15.4486,8.3960,0.9025,0.7812,-0.1500,,,,,,-1.5200,-0.4557,67746.00,7.0000,42.1475
SEP1977,0.7673,0.8800,0.2800,7.8330,10.6225,16.4927,8.0708,0.8661,0.7844,-0.0988,,,,,,-1.2768,0.0566,68129.00,6.8000,42.1886
OCT1977,0.7512,0.8500,0.4300,6.9122,9.5478,14.7922,7.6018,0.8706,0.8006,-0.1194,,,,,,-1.1644,0.3579,68331.00,6.8000,42.3181
NOV1977,0.7529,0.8700,0.5800,7.1787,10.0238,14.4624,8.0401,0.8568,0.7902,-0.1039,,,,,,-1.2699,0.3176,68658.00,6.8000,42.3662
DEC1977,0.6553,0.8000,0.8000,7.1667,10.3328,15.9532,8.1418,0.9090,0.8289,-0.2538,,,,,,-1.4575,0.2205,68870.00,6.4000,42.8208
JAN1978,0.6495,0.7600,0.4200,6.3943,9.0580,14.7955,7.1717,0.8951,0.8835,-0.2456,,,,,,-1.3092,0.4891,68984.00,6.4000,42.1976
FEB1978,0.5990,0.7300,0.3500,6.1034,8.7171,14.9634,6.9878,0.8507,0.8613,-0.2517,,,,,,-1.3913,0.5148,69277.00,6.3000,42.3468
