year,month,logip,logcpi,gs1,ff,gs2,cm5yr,cm10yr,cm5f5,ebp,mortg_spread_m,cp3m_spread_m
1997,7,439.027254352773,507.767069543241,5.54,5.52,5.817275668825,6.04708122791432,6.27562801889041,6.5041748098665,-0.490275762770823,1.22187198110959,0.455454545454547
1997,8,440.022748962132,508.016135674487,5.56,5.54,5.87119539176595,6.12195785684519,6.379295096534,6.63663233622281,-0.492010068431953,1.100704903466,0.360952380952382
1997,9,440.934506507789,508.264583007253,5.52,5.54,5.82464143152557,6.043012118378,6.30662307586286,6.57023403334771,-0.543501625067115,1.12337692413714,0.553809523809523
1997,10,441.817291505989,508.450514266271,5.46,5.5,5.72557202456827,5.89149039448273,6.13413080333636,6.37677121219,-0.417430507291234,1.15986919666364,0.575909090909092
1997,11,442.601720395492,508.574276658306,5.46,5.52,5.67712312874278,5.7738145195695,5.94226925122261,6.11072398287572,-0.311287488850058,1.26273074877739,0.492777777777778
1997,12,443.026664753783,508.636100462439,5.53,5.5,5.67005361397264,5.71857347532018,5.84299748570555,5.96742149609091,-0.376313976898015,1.25200251429445,0.542272727272728
1998,1,443.464043181378,508.759633523238,5.24,5.56,5.32261137977085,5.39391685336995,5.62561838698245,5.85731992059495,-0.331535581072081,1.36838161301755,0.406999999999999
1998,2,443.625792143205,508.759633523238,5.31,5.51,5.38347816819874,5.454587798083,5.69305728800453,5.93152677792605,-0.306775856835554,1.34944271199547,0.363157894736842
1998,3,443.660951244417,508.759633523238,5.39,5.49,5.51473528207091,5.58191191790446,5.75748279829336,5.93305367868227,-0.358139437826855,1.37001720170664,0.458181818181819
1998,4,444.003489562479,508.883014168131,5.38,5.45,5.5264374276471,5.56956421007857,5.74812133045748,5.92667845083638,-0.390918438140387,1.39187866954252,0.529567099567102
1998,5,444.66046081582,509.129319711371,5.44,5.49,5.55440938949265,5.59757280739245,5.77068911066295,5.94380541393345,-0.346007524866681,1.37331088933705,0.501000000000002
1998,6,444.058795287205,509.252245356844,5.41,5.56,5.48546093166295,5.49422963374796,5.60622231815296,5.71821500255796,-0.307552600361685,1.39127768184705,0.528181818181818
1998,7,443.673496617854,509.497644253001,5.36,5.54,5.43487245294323,5.44003886113782,5.5558104039655,5.67158194679318,-0.268385023819955,1.3961895960345,0.538636363636364
1998,8,445.722686723682,509.62011824259,5.21,5.55,5.26666393499681,5.27544385197238,5.41766101633762,5.55987818070286,0.131747443291321,1.50483898366238,0.592857142857143
1998,9,445.669453932186,509.681299033731,4.71,5.51,4.73244199341843,4.68649240263443,4.99865828522338,5.31082416781233,0.115349594715018,1.72384171477662,0.713809523809524
1998,10,446.350753841671,509.925648574978,4.12,5.07,4.24912797166771,4.33327413326662,4.84784412599238,5.36241411871814,0.231581096277577,1.86215587400762,1.12857142857143
1998,11,446.274911125217,510.047599809605,4.53,4.83,4.62369110810537,4.7042221135151,5.07475460870579,5.44528710389647,0.212527773397022,1.79024539129421,0.73263157894737
1998,12,446.726926084563,510.230248262208,4.52,4.68,4.55319332570023,4.57963456576582,4.93479538561673,5.28995620546763,0.0777340869486856,1.80320461438327,0.650454545454545
1999,1,447.15805059506,510.412563718359,4.51,4.63,4.64841742373453,4.68360914051479,5.07478073909763,5.46595233768047,0.069106684067693,1.71021926090237,0.473736842105263
